year,model,N,IV_mean,Forecast_mean,Gap_mean,Gap_median,Corr
2012,ESG-EGARCH(E),4043,0.2815992531948223,0.2813220638066515,-0.00027718938817081234,0.004206609674217,0.7572839819115369
2012,ESG-EGARCH(G),4043,0.2815992531948223,0.2838611704556195,0.002261917260797195,0.0048464169208619,0.7944997224781978
2012,ESG-EGARCH(S),4043,0.2815992531948223,0.28294274349759,0.0013434903027676913,0.0042376463898864,0.76080611729809
2012,ESG-GARCH,4043,0.2815992531948223,0.28517301862175576,0.003573765426933396,0.0069428626893142,0.7874894137797447
2012,ESG-GARCH(E),4043,0.2815992531948223,0.2847714330565245,0.003172179861702167,0.0072562012981673,0.7611864463672753
2012,ESG-GARCH(G),4043,0.2815992531948223,0.2872617238815774,0.005662470686755083,0.0079603030763407,0.7995563754175199
2012,ESG-GARCH(S),4043,0.2815992531948223,0.2863891990897947,0.004789945894972409,0.0076077677415312,0.7655845746494013
2012,ESG-GJR-GARCH,4043,0.2815992531948223,0.28193032001756496,0.0003310668227426662,0.0033726055299109,0.7766272805823359
2012,ESG-GJR-GARCH(E),4043,0.2815992531948223,0.28176157937504387,0.0001623261802215347,0.0041232216274812,0.7515137997953131
2012,ESG-GJR-GARCH(G),4043,0.2815992531948223,0.2841993576795917,0.002600104484769404,0.0043983870105798,0.7883238040581266
2012,ESG-GJR-GARCH(S),4043,0.2815992531948223,0.2832578788127054,0.0016586256178831083,0.0042424525178013,0.7554870975303348
2012,GARCH,4043,0.2815992531948223,0.3008452290047937,0.019245975809971415,0.0115849057746416,0.7407855436300474
2012,GJR-GARCH,4043,0.2815992531948223,0.2925010835779303,0.010901830383107991,0.0074095373518202,0.7965960597306408
2013,EGARCH,4895,0.2521830051072523,0.2522941632316112,0.00011115812435891707,0.0040962962424933,0.736794460972893
2013,ESG-EGARCH,4895,0.2521830051072523,0.25475228443889386,0.002569279331641564,0.005438704526176,0.740254863951031
2013,ESG-EGARCH(E),4895,0.2521830051072523,0.2555783610889933,0.0033953559817410162,0.0059256357599694,0.7442671645264668
2013,ESG-EGARCH(G),4895,0.2521830051072523,0.2556154916967746,0.003432486589522293,0.006222051302087,0.7418540333927478
2013,ESG-EGARCH(S),4895,0.2521830051072523,0.2540525074955031,0.0018695023882508443,0.0060026374486298,0.6948689319059607
2013,ESG-GARCH,4967,0.25142696345882826,0.25979194286686763,0.00836497940803935,0.0094943807373011,0.741270167443195
2013,ESG-GARCH(E),4967,0.25142696345882826,0.2607119229065582,0.009284959447729947,0.0099572908716452,0.7473937412097721
2013,ESG-GARCH(G),4967,0.25142696345882826,0.2604525174146959,0.009025553955867632,0.0098877675057099,0.743008428908406
