ticker,secid,file,option_rows,option_min,option_max,overlap_dates,overlap_rows,valid_iv_rows,valid_mid_rows,valid_forward_rows,valid_pricing_rows,calls,puts,atm_valid_rows,valid_pricing_dates,oos_dates,oos_rows
MDLZ,115247,MDLZ_115247_options.csv,442046,2017-01-03,2019-06-28,626,442046,387659,442046,441311,387659,221023,221023,35938,626,2091,30045
MDT,107398,MDT_107398_options.csv,549790,2017-01-03,2019-06-28,626,549790,479041,549790,549109,479041,274895,274895,63205,626,2333,33675
MET,107484,MET_107484_options.csv,450875,2017-01-03,2019-06-28,626,450875,347645,450875,404910,347645,225437,225438,34877,625,2333,33675
MGM,107110,MGM_107110_options.csv,443065,2017-01-03,2019-06-28,626,443065,387977,443065,443009,387977,221532,221533,25754,626,2333,33675
MHK,107652,MHK_107652_options.csv,261428,2017-01-03,2019-06-28,626,261428,232504,261428,260216,232504,130711,130717,9150,626,2333,33675
MKC,107315,MKC_107315_options.csv,95794,2017-01-03,2019-06-28,626,95794,79977,95794,94552,79977,47898,47896,4815,626,2333,33675
MLM,107253,MLM_107253_options.csv,175746,2017-01-03,2019-06-28,626,175746,155642,175746,175725,155642,87873,87873,6322,626,2091,30045
MMM,107616,MMM_107616_options.csv,590108,2017-01-03,2019-06-28,626,590108,496580,590108,589971,496580,295054,295054,34957,626,2333,33675
MNST,105546,MNST_105546_options.csv,407370,2017-01-03,2019-06-28,626,407370,354666,407370,407276,354666,203685,203685,36544,626,2333,33675
MO,108965,MO_108965_options.csv,500423,2017-01-03,2019-06-28,626,500423,423749,500423,499843,423749,250211,250212,44660,626,2333,33675
MOS,105914,MOS_105914_options.csv,414254,2017-01-03,2019-06-28,626,414254,346000,414254,413880,346000,207128,207126,22119,626,2333,33675
MPC,148257,MPC_148257_options.csv,548056,2017-01-03,2019-06-28,626,548056,449574,548054,511962,449572,274030,274026,44624,626,1720,25800
MRK,107430,MRK_107430_options.csv,516378,2017-01-03,2019-06-28,626,516378,441992,516378,516262,441992,258188,258190,49964,626,2333,33675
MS,107704,MS_107704_options.csv,472887,2017-01-03,2019-06-28,626,472887,410997,472887,472870,410997,236443,236444,34678,626,2333,33675
MSFT,107525,MSFT_107525_options.csv,644292,2017-01-03,2019-06-28,626,644292,553328,644292,644035,553328,322149,322143,53406,626,2333,33631
MSI,107747,MSI_107747_options.csv,150102,2017-01-03,2019-06-28,626,150102,136877,150102,149962,136877,75051,75051,8140,626,2333,33565
MTB,107074,MTB_107074_options.csv,114785,2017-01-03,2019-06-28,626,114785,100021,114785,114771,100021,57392,57393,6767,626,2333,33675
MTD,107504,MTD_107504_options.csv,132152,2017-01-03,2019-06-28,626,132152,104973,132152,114181,104973,66076,66076,11754,626,2091,30045
