ticker,RIC,esg_lag_year,option_first,first_252_return_date,esg_date,oos_start
NWSA,NWSA.O,2012.0,2013-07-01,2014-06-27,2012-01-01,2014-06-27
O,O,2010.0,2007-09-27,2010-01-12,2010-01-01,2010-01-12
OKE,OKE,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
OMC,OMC,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
ORCL,ORCL.K,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
ORLY,ORLY.O,2010.0,1998-02-02,2010-01-12,2010-01-01,2010-01-12
OXY,OXY,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
PAYX,PAYX.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
PCAR,PCAR.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
PCG,PCG,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
PEG,PEG,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
PEP,PEP.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
PFE,PFE,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
PFG,PFG.O,2010.0,2002-01-23,2010-01-12,2010-01-01,2010-01-12
PG,PG,2009.0,1996-01-04,2010-01-12,2009-01-01,2010-01-12
PGR,PGR,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
PH,PH,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
PHM,PHM,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
PKG,PKG,2010.0,2001-07-09,2010-01-12,2010-01-01,2010-01-12
PLD,PLD,2011.0,1998-05-13,2010-01-12,2011-01-01,2011-01-01
PM,PM,2011.0,2008-04-01,2010-01-12,2011-01-01,2011-01-01
PNC,PNC,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
PNR,PNR,2011.0,1999-06-11,2010-01-12,2011-01-01,2011-01-01
PNW,PNW,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
PPG,PPG,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
PPL,PPL,2011.0,1996-08-27,2010-01-12,2011-01-01,2011-01-01
PRGO,PRGO.K,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
PRU,PRU,2010.0,2002-03-14,2010-01-12,2010-01-01,2010-01-12
PSA,PSA,2010.0,1996-12-24,2010-01-12,2010-01-01,2010-01-12
PSX,PSX,2013.0,1996-01-04,2013-04-24,2013-01-01,2013-04-24
PVH,PVH,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
PWR,PWR,2010.0,2000-05-11,2010-01-12,2010-01-01,2010-01-12
PYPL,PYPL.O,2016.0,2015-07-20,2016-07-14,2016-01-01,2016-07-14
QCOM,QCOM.O,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
QRVO,QRVO.O,2015.0,2015-01-02,2010-01-12,2015-01-01,2015-01-02
RCL,RCL,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
REG,REG.O,2010.0,2003-10-14,2010-01-12,2010-01-01,2010-01-12
REGN,REGN.O,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
RF,RF,2010.0,1997-03-10,2010-01-12,2010-01-01,2010-01-12
RHI,RHI,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
RJF,RJF,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
RL,RL,2010.0,1997-09-19,2010-01-12,2010-01-01,2010-01-12
RMD,RMD,2010.0,1998-11-24,2010-01-12,2010-01-01,2010-01-12
ROK,ROK,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
ROP,ROP.O,2010.0,1996-03-11,2010-01-12,2010-01-01,2010-01-12
ROST,ROST.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
RRC,RRC,2010.0,1996-05-09,2010-01-12,2010-01-01,2010-01-12
RSG,RSG,2010.0,1998-07-16,2010-01-12,2010-01-01,2010-01-12
SBAC,SBAC.O,2010.0,2000-03-08,2010-01-12,2010-01-01,2010-01-12
SBUX,SBUX.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
SCG,SCG.W^E14,2010.0,1996-01-04,2012-09-11,2010-01-01,2012-09-11
SCHW,SCHW.K,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
SHW,SHW,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
SIG,SIG,2010.0,2009-07-16,2010-01-12,2010-01-01,2010-01-12
SJM,SJM,2010.0,2002-06-10,2010-01-12,2010-01-01,2010-01-12
SLB,SLB,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
SLG,SLG,2010.0,2007-01-30,2010-01-12,2010-01-01,2010-01-12
SNA,SNA,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
SNPS,SNPS.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
SO,SO,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
SPG,SPG,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
SPGI,SPGI.K,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
SRE,SRE,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
STT,STT,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
STX,STX.O,2010.0,2003-01-21,2010-01-12,2010-01-01,2010-01-12
STZ,STZ,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
SWK,SWK,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
SWKS,SWKS.O,2010.0,1996-10-09,2010-01-12,2010-01-01,2010-01-12
SYF,SYF,2014.0,2014-08-12,2015-08-11,2014-01-01,2015-08-11
SYK,SYK,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
SYY,SYY,2009.0,1996-01-04,2010-01-12,2009-01-01,2010-01-12
T,T,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
TAP,TAP,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
TDG,TDG,2011.0,2007-05-03,2010-01-12,2011-01-01,2011-01-01
TEL,TEL,2010.0,2007-07-02,2010-01-12,2010-01-01,2010-01-12
TGT,TGT,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
TJX,TJX,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
TMO,TMO,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
TPR,TPR,2011.0,2000-10-30,2010-01-12,2011-01-01,2011-01-01
TRIP,TRIP.O,2012.0,2011-12-22,2012-12-19,2012-01-01,2012-12-19
TROW,TROW.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
TRV,TRV,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
TSCO,TSCO.O,2010.0,2002-08-23,2010-01-12,2010-01-01,2010-01-12
TSN,TSN,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
TSS,TSS.W^E14,2010.0,1996-07-18,2012-10-18,2010-01-01,2012-10-18
TWX,TWX.N^F18,2009.0,1996-01-04,2010-01-12,2009-01-01,2010-01-12
TXN,TXN.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
TXT,TXT,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
UAA,UAA,2010.0,2005-11-30,2010-01-12,2010-01-01,2010-01-12
UAL,UAL.O,2010.0,2006-02-10,2010-01-12,2010-01-01,2010-01-12
UDR,UDR,2010.0,1998-06-08,2010-01-12,2010-01-01,2010-01-12
UHS,UHS,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
