ticker,input_ric,instrument_id,organization_id,historical_rics,historical_ric_count,identity_change_flag,delisted_flag,legacy_ticker_flag,likely_corporate_action_flag,treatment,notes
LRCX,LRCX.O,8590940996.0,,LRCX.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
LUV,LUV,8590936854.0,,LUV.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
LYB,LYB,21474990880.0,,LYB.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MA,MA,8590938634.0,,MA.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MAA,MAA,8590943138.0,,MAA.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MAC,MAC,8590935321.0,,MAC.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MAR,MAR.O,8590942394.0,,MAR.N;MAR.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
MAS,MAS,8590941656.0,,MAS.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MAT,MAT.O,8590931914.0,,MAT.N;MAT.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
MCD,MCD,8590933966.0,,MCD.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MCHP,MCHP.O,8590940856.0,,MCHP.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MCK,MCK,8590924393.0,,MCK.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MCO,MCO,8590933587.0,,MCO.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MDLZ,MDLZ.O,8590924768.0,,KFT.N;KFT.OQ;MDLZ.OQ,3,True,False,False,True,KEEP_HISTORICAL_ENTITY,
MDT,MDT,8590939637.0,,MDT.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MET,MET,8590934962.0,,MET.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MGM,MGM,8590942275.0,,MGG.N;MGM.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
MHK,MHK,8590938090.0,,MHK.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MKC,MKC,8590920790.0,,MKC.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MLM,MLM,8590938260.0,,MLM.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MMC,0#MCM:,,,,0,False,False,False,False,UNRESOLVED,
MMM,MMM,8590922160.0,,MMM.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MNST,MNST.O,8590926396.0,,HANS.OQ;MNST.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
MO,MO,8590939103.0,,MO.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MON,MON.PH^B09,8590932583.0,,MON.N;MON.N^F18,2,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
MOS,MOS,8590930094.0,,MOS.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MPC,MPC,21475853855.0,,MPC_w.N;MPC.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
MRK,MRK,8590923036.0,,MRK.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
MRO,MRO.PH^B09,8590937648.0,,MRO.N,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
