ticker,RIC,price_obs,price_first,price_last
PVH,PVH,2640,2009-01-02,2019-06-28
PWR,PWR,2640,2009-01-02,2019-06-28
PXD,PXD.PH^B09,0,,
PYPL,PYPL.O,1004,2015-07-06,2019-06-28
QCOM,QCOM.O,2640,2009-01-02,2019-06-28
QRVO,QRVO.O,2640,2009-01-02,2019-06-28
RCL,RCL,2640,2009-01-02,2019-06-28
RE,0RCK8,0,,
REG,REG.O,2640,2009-01-02,2019-06-28
REGN,REGN.O,2639,2009-01-02,2019-06-28
RF,RF,2640,2009-01-02,2019-06-28
RHI,RHI,2640,2009-01-02,2019-06-28
RHT,RHT.PH^B09,0,,
RJF,RJF,2640,2009-01-02,2019-06-28
RL,RL,2640,2009-01-02,2019-06-28
RMD,RMD,2640,2009-01-02,2019-06-28
ROK,ROK,2640,2009-01-02,2019-06-28
ROP,ROP.O,2640,2009-01-02,2019-06-28
ROST,ROST.O,2640,2009-01-02,2019-06-28
RRC,RRC,2640,2009-01-02,2019-06-28
RSG,RSG,2640,2009-01-02,2019-06-28
RTN,RTN.B^J07,0,,
SBAC,SBAC.O,2640,2009-01-02,2019-06-28
SBUX,SBUX.O,2640,2009-01-02,2019-06-28
SCG,SCG.W^E14,763,2009-01-12,2014-04-16
SCHW,SCHW.K,2640,2009-01-02,2019-06-28
SEE,SEE.PH^B09,0,,
SHW,SHW,2640,2009-01-02,2019-06-28
SIG,SIG,2640,2009-01-02,2019-06-28
SJM,SJM,2640,2009-01-02,2019-06-28
SLB,SLB,2640,2009-01-02,2019-06-28
SLG,SLG,2640,2009-01-02,2019-06-28
SNA,SNA,2640,2009-01-02,2019-06-28
SNPS,SNPS.O,2640,2009-01-02,2019-06-28
SO,SO,2640,2009-01-02,2019-06-28
SPG,SPG,2640,2009-01-02,2019-06-28
SPGI,SPGI.K,2639,2009-01-02,2019-06-28
SPX,SPOc1,0,,
SRCL,SRCL.B^J07,0,,
SRE,SRE,2640,2009-01-02,2019-06-28
STI,STI.O,0,,
STT,STT,2640,2009-01-02,2019-06-28
STX,STX.O,2640,2009-01-02,2019-06-28
STZ,STZ,2640,2009-01-02,2019-06-28
SWK,SWK,2640,2009-01-02,2019-06-28
SWKS,SWKS.O,2640,2009-01-02,2019-06-28
SYF,SYF,1237,2014-07-31,2019-06-28
SYK,SYK,2640,2009-01-02,2019-06-28
SYMC,SYMC.B^J07,0,,
SYY,SYY,2640,2009-01-02,2019-06-28
T,T,2640,2009-01-02,2019-06-28
TAP,TAP,2640,2009-01-02,2019-06-28
TDG,TDG,2640,2009-01-02,2019-06-28
TEL,TEL,2640,2009-01-02,2019-06-28
TGT,TGT,2640,2009-01-02,2019-06-28
TIF,TIF.PH^B09,0,,
TJX,TJX,2640,2009-01-02,2019-06-28
TMO,TMO,2640,2009-01-02,2019-06-28
TPR,TPR,2640,2009-01-02,2019-06-28
TRIP,TRIP.O,1901,2011-12-07,2019-06-28
