ticker,rows,first_date,last_date,universe_source,status
NVDA,2051672,19990728,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NWL,707339,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
NWSA,217994,20130701,20190628,raw_options,PENDING_LSEG_RECONCILIATION
O,288682,20070927,20190628,raw_options,PENDING_LSEG_RECONCILIATION
OKE,880843,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
OMC,649599,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
ORCL,1815868,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
ORLY,636849,19980202,20190628,raw_options,PENDING_LSEG_RECONCILIATION
OXY,1859406,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PAYX,802621,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PBCT,406620,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PCAR,905582,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PCG,661835,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PDCO,545402,19970829,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PEG,292601,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PEP,1579512,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PFE,1836536,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PFG,515185,20020123,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PG,1824941,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PGR,645069,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PH,718123,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PHM,1323037,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PKG,423784,20010709,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PKI,423196,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PLD,415888,19980513,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PM,1395623,20080401,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PNC,1192594,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PNR,298044,19990611,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PNW,340313,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PPG,945578,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PPL,598262,19960827,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PRGO,1299933,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PRU,1024939,20020314,20190628,raw_options,PENDING_LSEG_RECONCILIATION
