ticker,rows,first_date,last_date,universe_source,status,RIC,DocumentTitle,mapping_status
ETFC,1312860,19961125,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ETFC.B^J07,"E TRADE Financial Ord Shs, Ordinary Share, Delisted, Boston SE when trading NASDAQ Global Select Market",MAPPED
ETN,1457185,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ETN,"Eaton Corporation PLC, Ordinary Share, NYSE Consolidated",MAPPED
ETR,643793,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ETR,"Entergy Corp, Ordinary Share, NYSE Consolidated",MAPPED
EVHC,249783,20010719,20181010,raw_options,PENDING_LSEG_RECONCILIATION,EVHC.W^E14,"Envision Healthcare Holdings Ord Shs, Ordinary Share, Delisted, Chicago Board Options Exchange",MAPPED
EW,1060522,20000403,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EW,"Edwards Lifesciences Corporation, Ordinary Share, NYSE Consolidated",MAPPED
EXC,815081,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EXC.O,"Exelon Corp, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
EXPD,645992,19961024,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EXPD.K,"Expeditors International of Washington Inc, Ordinary Share, Class A, NYSE Consolidated",MAPPED
EXPE,1460997,20050810,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EXPE.O,"Expedia Group, Inc., Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
EXR,234409,20080512,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EXR,"Extra Space Storage Inc., Ordinary Share, NYSE Consolidated",MAPPED
F,1519696,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,F,"Ford Motor Co, Ordinary Share, NYSE Consolidated",MAPPED
FAST,812671,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FAST.O,"Fastenal Company, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
FB,1877463,20120529,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FB,"ProShares S&P 500 Dynamic Buffer ETF, Equity ETF, USD, Cboe Consolidated",MAPPED
FBHS,172137,20111005,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FBHS.W^E14,"Fortune Brands Innovations Ord Shs, Ordinary Share, Delisted, Chicago Board Options Exchange",MAPPED
FCX,1814832,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FCX,"Freeport-McMoRan Inc, Ordinary Share, NYSE Consolidated",MAPPED
FDX,1794359,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FDX,"FedEx Corp, Ordinary Share, NYSE Consolidated",MAPPED
FE,671666,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FE,"FirstEnergy Corp, Ordinary Share, NYSE Consolidated",MAPPED
FFIV,1662875,19991209,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FFIV.O,"F5, Inc., Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
FIS,437463,20010709,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FIS,"Fidelity National Information Services, Inc., Ordinary Share, NYSE Consolidated",MAPPED
FISV,493053,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FISV.O,"Fiserv Inc, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
FITB,753530,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FITB.K,"Fifth Third Bancorp, Ordinary Share, NYSE Consolidated",MAPPED
FL,890476,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FLc1,"NYMEX 3.5% Fuel Oil (Platts) FOB MED Crack Spread Electronic Energy Future Continuation 1, Commodity Future, New York Mercantile Exchange (NYMEX)",MAPPED
FLIR,565337,20011008,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FLIR.B^J07,"FLIR Systems Ord Shs, Ordinary Share, Delisted, Boston SE when trading NASDAQ Global Select Market",MAPPED
FLR,1390343,20001222,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FLR,"Fluor Corp, Ordinary Share, NYSE Consolidated",MAPPED
FLS,457665,19960904,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FLS,"Flowserve Corporation, Ordinary Share, NYSE Consolidated",MAPPED
FMC,449509,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FMC,"FMC Corp, Ordinary Share, NYSE Consolidated",MAPPED
FOXA,41086,20190320,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FOXA.O,"Fox Corporation, Ordinary Share, Class A, NASDAQ Global Select Consolidated",MAPPED
FRT,344311,20080911,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FRT,"Federal Realty Investment Trust, Ordinary Share, NYSE Consolidated",MAPPED
FTI,143876,20170117,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FTI,"TechnipFMC PLC, Ordinary Share, NYSE Consolidated",MAPPED
FTV,183839,20160706,20190628,raw_options,PENDING_LSEG_RECONCILIATION,FTV,"Fortive Corporation, Ordinary Share, NYSE Consolidated",MAPPED
GD,1204712,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,GD,"General Dynamics Corp, Ordinary Share, NYSE Consolidated",MAPPED
GE,1783401,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,GE,"General Electric Co, Ordinary Share, NYSE Consolidated",MAPPED
GILD,2001075,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,GILD.O,"Gilead Sciences, Inc., Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
GIS,751989,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,GIS,"General Mills Inc, Ordinary Share, NYSE Consolidated",MAPPED
GLW,1634049,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,GLW,"Corning Incorporated, Ordinary Share, NYSE Consolidated",MAPPED
GM,1303623,20101129,20190628,raw_options,PENDING_LSEG_RECONCILIATION,GM,"General Motors Co, Ordinary Share, NYSE Consolidated",MAPPED
