ticker,rows,first_date,last_date,RIC,price_first,price_last,esg_first_date,esg_last_date,esg_obs,E_nonnull,S_nonnull,G_nonnull,first_year_with_lagged_esg,option_first,option_last,backtest_start,backtest_end,eligibility
GILD,2001075,19960104,20190628,GILD.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
GIS,751989,19960104,20190628,GIS,2009-01-02,2019-06-28,2008-05-25,2017-05-28,10,10,10,10,2009.0,1996-01-04,2019-06-28,2009-01-02,2019-06-28,ELIGIBLE_345
GLW,1634049,19960104,20190628,GLW,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
GM,1303623,20101129,20190628,GM,2010-11-18,2019-06-28,2009-12-31,2018-12-31,10,9,9,9,2010.0,2010-11-29,2019-06-28,2010-11-29,2019-06-28,ELIGIBLE_345
GOOG,3415085,20140403,20190628,GOOG.O,2014-03-27,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2014-04-03,2019-06-28,2014-04-03,2019-06-28,ELIGIBLE_345
GOOGL,6772887,20040827,20190628,GOOGL.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2004-08-27,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
GPC,589944,19960104,20190628,GPC,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
GPN,373646,20020328,20190628,GPN,2009-01-02,2019-06-28,2009-05-31,2018-12-31,10,10,10,10,2010.0,2002-03-28,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
GRMN,1085049,20010315,20190628,GRMN.K,2009-01-02,2019-06-28,2010-12-25,2019-12-28,10,10,10,10,2011.0,2001-03-15,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
GS,2337096,19990811,20190628,GS,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1999-08-11,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
GT,1347024,19960104,20190628,GT.O,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
GWW,990672,19960104,20190628,GWW,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
HAL,1782712,19960104,20190628,HAL,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
HAS,1130207,19960104,20190628,HAS.O,2009-01-02,2019-06-28,2009-12-27,2018-12-30,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
HBAN,482139,19960104,20190628,HBAN.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
HCA,1580693,19960104,20190628,HCA,2011-03-10,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2011-03-10,2019-06-28,ELIGIBLE_345
HD,1940770,19960104,20190628,HD,2009-01-02,2019-06-28,2009-02-01,2018-01-28,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
HIG,1432927,19960104,20190628,HIG,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
HII,311447,19960104,20190628,HII,2011-03-22,2019-06-28,2010-12-31,2018-12-31,9,8,8,8,2011.0,1996-01-04,2019-06-28,2011-03-22,2019-06-28,ELIGIBLE_345
HLT,536164,19960104,20190628,HLT,2013-12-12,2019-06-28,2013-12-31,2018-12-31,6,5,5,5,2014.0,1996-01-04,2019-06-28,2014-01-01,2019-06-28,ELIGIBLE_345
HOG,1202903,19960104,20190628,HOG,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
HON,1351393,19960104,20190628,HON.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
HP,795930,19960104,20190628,HP,2009-01-02,2019-06-28,2010-09-30,2019-09-30,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
HPE,543522,20151103,20190628,HPE,2015-10-19,2019-06-28,2014-12-31,2018-10-31,5,4,4,4,2015.0,2015-11-03,2019-06-28,2015-11-03,2019-06-28,ELIGIBLE_345
HPQ,1656443,19960104,20190628,HPQ,2009-01-02,2019-06-28,2009-10-31,2018-10-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
HRB,776495,19960104,20190628,HRB,2009-01-02,2019-06-28,2009-04-30,2018-04-30,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
HRL,461751,19960104,20190628,HRL,2009-01-02,2019-06-28,2009-10-25,2018-10-28,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
HSIC,467161,19960904,20190628,HSIC.O,2009-01-02,2019-06-28,2009-12-26,2018-12-29,10,10,10,10,2010.0,1996-09-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
HST,581885,19960104,20190628,HST.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
HSY,1035377,19960104,20190628,HSY,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
HUM,1781774,19960104,20190628,HUM,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
IBM,2395834,19960104,20190628,IBM,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
ICE,909714,20051128,20190628,ICE,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2005-11-28,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
IDXX,471758,19960104,20190628,IDXX.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
IFF,444345,19960104,20190628,IFF,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
ILMN,1682482,20031218,20190628,ILMN.O,2009-01-02,2019-06-28,2010-01-03,2019-12-29,11,11,11,11,2011.0,2003-12-18,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
INCY,797680,19960926,20190628,INCY.O,2009-01-02,2019-06-28,2013-12-31,2018-12-31,6,5,5,5,2014.0,1996-09-26,2019-06-28,2014-01-01,2019-06-28,ELIGIBLE_345
INTC,1974206,19960104,20190628,INTC.O,2009-01-02,2019-06-28,2009-12-26,2018-12-29,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
INTU,957255,19960104,20190628,INTU.O,2009-01-02,2019-06-28,2010-07-31,2019-07-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
IP,1485148,19960104,20190628,IP,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
IPGP,376662,20070425,20190628,IPGP.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,9,9,9,2010.0,2007-04-25,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
IQV,226223,20130606,20190628,IQV,2013-05-09,2019-06-28,2014-12-31,2019-12-31,6,6,6,6,2015.0,2013-06-06,2019-06-28,2015-01-01,2019-06-28,ELIGIBLE_345
IR,912674,19960104,20190628,IR,2017-05-12,2019-06-28,2016-12-31,2018-12-31,3,2,2,2,2017.0,1996-01-04,2019-06-28,2017-05-12,2019-06-28,ELIGIBLE_345
IRM,495760,19980514,20190628,IRM,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1998-05-14,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
ISRG,3533410,20010724,20190628,ISRG.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2001-07-24,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
IT,360768,19960104,20190628,IT,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,9,9,9,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
ITW,985121,19960104,20190628,ITW,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
